# tp = 2e-08 s
# (c0 tau) (p)
-4.0 0.0 0.0
-3.9995 0.0 0.0
-3.999 0.0 0.0
-3.9985 0.0 0.0
-3.998 0.0 0.0
-3.9975 0.0 0.0
-3.997 0.0 0.0
-3.9965 0.0 0.0
-3.996 0.0 0.0
-3.9955 0.0 0.0
-3.995 0.0 0.0
-3.9945 0.0 0.0
-3.994 0.0 0.0
-3.9935 0.0 0.0
-3.993 0.0 0.0
-3.9925 0.0 0.0
-3.992 0.0 0.0
-3.9915 0.0 0.0
-3.991 0.0 0.0
-3.9905 0.0 0.0
-3.99 0.0 0.0
-3.9895 0.0 0.0
-3.989 0.0 0.0
-3.9885 0.0 0.0
-3.988 0.0 0.0
-3.9875 0.0 0.0
-3.987 0.0 0.0
-3.9865 0.0 0.0
-3.986 0.0 0.0
-3.9855 0.0 0.0
-3.985 0.0 0.0
-3.9845 0.0 0.0
-3.984 0.0 0.0
-3.9835 0.0 0.0
-3.983 0.0 0.0
-3.9825 0.0 0.0
-3.982 0.0 0.0
-3.9815 0.0 0.0
-3.981 0.0 0.0
-3.9805 0.0 0.0
-3.98 0.0 0.0
-3.9795 0.0 0.0
-3.979 0.0 0.0
-3.9785 0.0 0.0
-3.978 0.0 0.0
-3.9775 0.0 0.0
-3.977 0.0 0.0
-3.9765 0.0 0.0
-3.976 0.0 0.0
-3.9755 0.0 0.0
-3.975 0.0 0.0
-3.9745 0.0 0.0
-3.974 0.0 0.0
-3.9735 0.0 0.0
-3.973 0.0 0.0
-3.9725 0.0 0.0
-3.972 0.0 0.0
-3.9715 0.0 0.0
-3.971 0.0 0.0
-3.9705 0.0 0.0
-3.97 0.0 0.0
-3.9695 0.0 0.0
-3.969 0.0 0.0
-3.9685 0.0 0.0
-3.968 0.0 0.0
-3.9675 0.0 0.0
-3.967 0.0 0.0
-3.9665 0.0 0.0
-3.966 0.0 0.0
-3.9655 0.0 0.0
-3.965 0.0 0.0
-3.9645 0.0 0.0
-3.964 0.0 0.0
-3.9635 0.0 0.0
-3.963 0.0 0.0
-3.9625 0.0 0.0
-3.962 0.0 0.0
-3.9615 0.0 0.0
-3.961 0.0 0.0
-3.9605 0.0 0.0
-3.96 0.0 0.0
-3.9595 0.0 0.0
-3.959 0.0 0.0
-3.9585 0.0 0.0
-3.958 0.0 0.0
-3.9575 0.0 0.0
-3.957 0.0 0.0
-3.9565 0.0 0.0
-3.956 0.0 0.0
-3.9555 0.0 0.0
-3.955 0.0 0.0
-3.9545 0.0 0.0
-3.954 0.0 0.0
-3.9535 0.0 0.0
-3.953 0.0 0.0
-3.9525 0.0 0.0
-3.952 0.0 0.0
-3.9515 0.0 0.0
-3.951 0.0 0.0
-3.9505 0.0 0.0
-3.95 0.0 0.0
-3.9495 0.0 0.0
-3.949 0.0 0.0
-3.9485 0.0 0.0
-3.948 0.0 0.0
-3.9475 0.0 0.0
-3.947 0.0 0.0
-3.9465 0.0 0.0
-3.946 0.0 0.0
-3.9455 0.0 0.0
-3.945 0.0 0.0
-3.9445 0.0 0.0
-3.944 0.0 0.0
-3.9435 0.0 0.0
-3.943 0.0 0.0
-3.9425 0.0 0.0
-3.942 0.0 0.0
-3.9415 0.0 0.0
-3.941 0.0 0.0
-3.9405 0.0 0.0
-3.94 0.0 0.0
-3.9395 0.0 0.0
-3.939 0.0 0.0
-3.9385 0.0 0.0
-3.938 0.0 0.0
-3.9375 0.0 0.0
-3.937 0.0 0.0
-3.9365 0.0 0.0
-3.936 0.0 0.0
-3.9355 0.0 0.0
-3.935 0.0 0.0
-3.9345 0.0 0.0
-3.934 0.0 0.0
-3.9335 0.0 0.0
-3.933 0.0 0.0
-3.9325 0.0 0.0
-3.932 0.0 0.0
-3.9315 0.0 0.0
-3.931 0.0 0.0
-3.9305 0.0 0.0
-3.93 0.0 0.0
-3.9295 0.0 0.0
-3.929 0.0 0.0
-3.9285 0.0 0.0
-3.928 0.0 0.0
-3.9275 0.0 0.0
-3.927 0.0 0.0
-3.9265 0.0 0.0
-3.926 0.0 0.0
-3.9255 0.0 0.0
-3.925 0.0 0.0
-3.9245 0.0 0.0
-3.924 0.0 0.0
-3.9235 0.0 0.0
-3.923 0.0 0.0
-3.9225 0.0 0.0
-3.922 0.0 0.0
-3.9215 0.0 0.0
-3.921 0.0 0.0
-3.9205 0.0 0.0
-3.92 0.0 0.0
-3.9195 0.0 0.0
-3.919 0.0 0.0
-3.9185 0.0 0.0
-3.918 0.0 0.0
-3.9175 0.0 0.0
-3.917 0.0 0.0
-3.9165 0.0 0.0
-3.916 0.0 0.0
-3.9155 0.0 0.0
-3.915 0.0 0.0
-3.9145 0.0 0.0
-3.914 0.0 0.0
-3.9135 0.0 0.0
-3.913 0.0 0.0
-3.9125 0.0 0.0
-3.912 0.0 0.0
-3.9115 0.0 0.0
-3.911 0.0 0.0
-3.9105 0.0 0.0
-3.91 0.0 0.0
-3.9095 0.0 0.0
-3.909 0.0 0.0
-3.9085 0.0 0.0
-3.908 0.0 0.0
-3.9075 0.0 0.0
-3.907 0.0 0.0
-3.9065 0.0 0.0
-3.906 0.0 0.0
-3.9055 0.0 0.0
-3.905 0.0 0.0
-3.9045 0.0 0.0
-3.904 0.0 0.0
-3.9035 0.0 0.0
-3.903 0.0 0.0
-3.9025 0.0 0.0
-3.902 0.0 0.0
-3.9015 0.0 0.0
-3.901 0.0 0.0
-3.9005 0.0 0.0
-3.9 0.0 0.0
-3.8995 0.0 0.0
-3.899 0.0 0.0
-3.8985 0.0 0.0
-3.898 0.0 0.0
-3.8975 0.0 0.0
-3.897 0.0 0.0
-3.8965 0.0 0.0
-3.896 0.0 0.0
-3.8955 0.0 0.0
-3.895 0.0 0.0
-3.8945 0.0 0.0
-3.894 0.0 0.0
-3.8935 0.0 0.0
-3.893 0.0 0.0
-3.8925 0.0 0.0
-3.892 0.0 0.0
-3.8915 0.0 0.0
-3.891 0.0 0.0
-3.8905 0.0 0.0
-3.89 0.0 0.0
-3.8895 0.0 0.0
-3.889 0.0 0.0
-3.8885 0.0 0.0
-3.888 0.0 0.0
-3.8875 0.0 0.0
-3.887 0.0 0.0
-3.8865 0.0 0.0
-3.886 0.0 0.0
-3.8855 0.0 0.0
-3.885 0.0 0.0
-3.8845 0.0 0.0
-3.884 0.0 0.0
-3.8835 0.0 0.0
-3.883 0.0 0.0
-3.8825 0.0 0.0
-3.882 0.0 0.0
-3.8815 0.0 0.0
-3.881 0.0 0.0
