# tp = 2e-08 s
# (c0 tau) (p)
-0.5 0.0 0.0
-0.4995 0.0 0.0
-0.499 0.0 0.0
-0.4985 0.0 0.0
-0.498 0.0 0.0
-0.4975 0.0 0.0
-0.497 0.0 0.0
-0.4965 0.0 0.0
-0.496 0.0 0.0
-0.4955 0.0 0.0
-0.495 0.0 0.0
-0.4945 0.0 0.0
-0.494 0.0 0.0
-0.4935 0.0 0.0
-0.493 0.0 0.0
-0.4925 0.0 0.0
-0.492 0.0 0.0
-0.4915 0.0 0.0
-0.491 0.0 0.0
-0.4905 0.0 0.0
-0.49 0.0 0.0
-0.4895 0.0 0.0
-0.489 0.0 0.0
-0.4885 0.0 0.0
-0.488 0.0 0.0
-0.4875 0.0 0.0
-0.487 0.0 0.0
-0.4865 0.0 0.0
-0.486 0.0 0.0
-0.4855 0.0 0.0
-0.485 0.0 0.0
-0.4845 0.0 0.0
-0.484 0.0 0.0
-0.4835 0.0 0.0
-0.483 0.0 0.0
-0.4825 0.0 0.0
-0.482 0.0 0.0
-0.4815 0.0 0.0
-0.481 0.0 0.0
-0.4805 0.0 0.0
-0.48 0.0 0.0
-0.4795 0.0 0.0
-0.479 0.0 0.0
-0.4785 0.0 0.0
-0.478 0.0 0.0
-0.4775 0.0 0.0
-0.477 0.0 0.0
-0.4765 0.0 0.0
-0.476 0.0 0.0
-0.4755 0.0 0.0
-0.475 0.0 0.0
-0.4745 0.0 0.0
-0.474 0.0 0.0
-0.4735 0.0 0.0
-0.473 0.0 0.0
-0.4725 0.0 0.0
-0.472 0.0 0.0
-0.4715 0.0 0.0
-0.471 0.0 0.0
-0.4705 0.0 0.0
-0.47 0.0 0.0
-0.4695 0.0 0.0
-0.469 0.0 0.0
-0.4685 0.0 0.0
-0.468 0.0 0.0
-0.4675 0.0 0.0
-0.467 0.0 0.0
-0.4665 0.0 0.0
-0.466 0.0 0.0
-0.4655 0.0 0.0
-0.465 0.0 0.0
-0.4645 0.0 0.0
-0.464 0.0 0.0
-0.4635 0.0 0.0
-0.463 0.0 0.0
-0.4625 0.0 0.0
-0.462 0.0 0.0
-0.4615 0.0 0.0
-0.461 0.0 0.0
-0.4605 0.0 0.0
-0.46 0.0 0.0
