# tp = 2e-08 s
# (c0 tau) (p)
-8.0 0.0 0.0
-7.9995 0.0 0.0
-7.999 0.0 0.0
-7.9985 0.0 0.0
-7.998 0.0 0.0
-7.9975 0.0 0.0
-7.997 0.0 0.0
-7.9965 0.0 0.0
-7.996 0.0 0.0
-7.9955 0.0 0.0
-7.995 0.0 0.0
-7.9945 0.0 0.0
-7.994 0.0 0.0
-7.9935 0.0 0.0
-7.993 0.0 0.0
-7.9925 0.0 0.0
-7.992 0.0 0.0
-7.9915 0.0 0.0
-7.991 0.0 0.0
-7.9905 0.0 0.0
-7.99 0.0 0.0
-7.9895 0.0 0.0
-7.989 0.0 0.0
-7.9885 0.0 0.0
-7.988 0.0 0.0
-7.9875 0.0 0.0
-7.987 0.0 0.0
-7.9865 0.0 0.0
-7.986 0.0 0.0
-7.9855 0.0 0.0
-7.985 0.0 0.0
-7.9845 0.0 0.0
-7.984 0.0 0.0
-7.9835 0.0 0.0
-7.983 0.0 0.0
-7.9825 0.0 0.0
-7.982 0.0 0.0
-7.9815 0.0 0.0
-7.981 0.0 0.0
-7.9805 0.0 0.0
-7.98 0.0 0.0
-7.9795 0.0 0.0
-7.979 0.0 0.0
-7.9785 0.0 0.0
-7.978 0.0 0.0
-7.9775 0.0 0.0
-7.977 0.0 0.0
-7.9765 0.0 0.0
-7.976 0.0 0.0
-7.9755 0.0 0.0
-7.975 0.0 0.0
-7.9745 0.0 0.0
-7.974 0.0 0.0
-7.9735 0.0 0.0
-7.973 0.0 0.0
-7.9725 0.0 0.0
-7.972 0.0 0.0
-7.9715 0.0 0.0
-7.971 0.0 0.0
-7.9705 0.0 0.0
-7.97 0.0 0.0
-7.9695 0.0 0.0
-7.969 0.0 0.0
-7.9685 0.0 0.0
-7.968 0.0 0.0
-7.9675 0.0 0.0
-7.967 0.0 0.0
-7.9665 0.0 0.0
-7.966 0.0 0.0
-7.9655 0.0 0.0
-7.965 0.0 0.0
-7.9645 0.0 0.0
-7.964 0.0 0.0
-7.9635 0.0 0.0
-7.963 0.0 0.0
-7.9625 0.0 0.0
-7.962 0.0 0.0
-7.9615 0.0 0.0
-7.961 0.0 0.0
-7.9605 0.0 0.0
-7.96 0.0 0.0
-7.9595 0.0 0.0
-7.959 0.0 0.0
-7.9585 0.0 0.0
-7.958 0.0 0.0
-7.9575 0.0 0.0
-7.957 0.0 0.0
-7.9565 0.0 0.0
-7.956 0.0 0.0
-7.9555 0.0 0.0
-7.955 0.0 0.0
-7.9545 0.0 0.0
-7.954 0.0 0.0
-7.9535 0.0 0.0
-7.953 0.0 0.0
-7.9525 0.0 0.0
-7.952 0.0 0.0
-7.9515 0.0 0.0
-7.951 0.0 0.0
-7.9505 0.0 0.0
-7.95 0.0 0.0
-7.9495 0.0 0.0
-7.949 0.0 0.0
-7.9485 0.0 0.0
-7.948 0.0 0.0
-7.9475 0.0 0.0
-7.947 0.0 0.0
-7.9465 0.0 0.0
-7.946 0.0 0.0
-7.9455 0.0 0.0
-7.945 0.0 0.0
-7.9445 0.0 0.0
-7.944 0.0 0.0
-7.9435 0.0 0.0
-7.943 0.0 0.0
-7.9425 0.0 0.0
-7.942 0.0 0.0
-7.9415 0.0 0.0
-7.941 0.0 0.0
-7.9405 0.0 0.0
-7.94 0.0 0.0
-7.9395 0.0 0.0
-7.939 0.0 0.0
-7.9385 0.0 0.0
-7.938 0.0 0.0
-7.9375 0.0 0.0
-7.937 0.0 0.0
-7.9365 0.0 0.0
-7.936 0.0 0.0
-7.9355 0.0 0.0
-7.935 0.0 0.0
-7.9345 0.0 0.0
-7.934 0.0 0.0
-7.9335 0.0 0.0
-7.933 0.0 0.0
-7.9325 0.0 0.0
-7.932 0.0 0.0
-7.9315 0.0 0.0
-7.931 0.0 0.0
-7.9305 0.0 0.0
-7.93 0.0 0.0
-7.9295 0.0 0.0
-7.929 0.0 0.0
-7.9285 0.0 0.0
-7.928 0.0 0.0
-7.9275 0.0 0.0
-7.927 0.0 0.0
-7.9265 0.0 0.0
-7.926 0.0 0.0
-7.9255 0.0 0.0
-7.925 0.0 0.0
-7.9245 0.0 0.0
-7.924 0.0 0.0
-7.9235 0.0 0.0
-7.923 0.0 0.0
-7.9225 0.0 0.0
-7.922 0.0 0.0
-7.9215 0.0 0.0
-7.921 0.0 0.0
-7.9205 0.0 0.0
-7.92 0.0 0.0
